Friction,Forecast-side winner,Deployed winner,Agreement rate,Mean deployed gap,Median deployed gap,Deployed-suboptimal seeds / total
0.00,Reactive short,Reactive short,1.00,0.000,0.000,0/100
0.50,Reactive short,Lagged smoother,0.00,7.016,6.977,100/100
1.00,Reactive short,Lagged smoother,0.00,24.651,24.473,100/100
