Friction,Forecast-side winner,Deployed winner,Agreement rate,Mean deployed gap,Median deployed gap,Deployed-suboptimal seeds / total
0.00,Reactive short,Reactive short,1.00,0.000,0.000,0/100
0.50,Reactive short,Calibrated baseline,0.00,10.103,10.122,100/100
1.00,Reactive short,Calibrated baseline,0.00,25.205,25.231,100/100
