Friction,Forecast-side winner,Deployed winner,Agreement rate,Mean deployed gap,Deployed-suboptimal seeds / total
0.00,Small MLP,Small MLP,0.70,0.022,3/10
0.25,Small MLP,Linear AR,0.70,0.053,3/10
0.50,Small MLP,Moving average (7),0.10,0.308,9/10
1.00,Small MLP,Moving average (7),0.00,1.187,10/10
