Friction,Forecast-side winner,Deployed winner,Agreement rate,Mean deployed gap,Deployed-suboptimal seeds / total
0.00,Reactive sharp,Reactive sharp,0.75,0.002,5/20
0.50,Reactive sharp,Calibrated baseline,0.30,0.013,14/20
1.00,Reactive sharp,Lagged smoother,0.05,0.061,19/20
