kappa,eta,n_runs,median_sharpe,iqr_sharpe,median_turnover_exec,collapse_rate,arm
0.0,0.2,10,1.2153824968943274,0.060890381416891515,0.0049858634851164,0.0,eta_sweep
0.0,1.0,10,1.2175563389310686,0.06316955644610522,0.0218358327417048,0.0,eta_sweep
0.0005,0.2,10,1.209668743466904,0.061831938081328586,0.0049858634851164,0.0,eta_sweep
0.0005,1.0,10,1.1938947223085377,0.06658322727709098,0.0218358327417048,0.0,eta_sweep
0.001,0.2,10,1.2043287935742208,0.06296064451215044,0.0049858634851164,0.0,eta_sweep
0.001,1.0,10,1.1694974941753298,0.07036482862976112,0.0218358327417048,0.0,eta_sweep
