run_id,model_type,seed,regime,period,total_reward,avg_reward,cumulative_return,avg_turnover,total_turnover,sharpe,max_drawdown,steps,avg_turnover_exec,total_turnover_exec,avg_turnover_target,total_turnover_target,mean_daily_return_gross,std_daily_return_gross,cumulative_return_net_exp,sharpe_net_exp,max_drawdown_net_exp,mean_daily_net_return_exp,std_daily_net_return_exp,cumulative_return_net_lin,sharpe_net_lin,max_drawdown_net_lin,mean_daily_net_return_lin,std_daily_net_return_lin,eval_id,eval_window
20260216T065144Z_d02deadc_seed0_prl_5f39,prl_sac,0,high,test,0.041168771544107585,0.0002510290947811438,0.044738527846525766,0.03168136815121864,5.1957443767998575,0.4565869982405806,-0.13626880883450643,164,0.03168136815121864,5.1957443767998575,,,0.00033520415693572366,0.011654298187698618,0.042027953068758395,0.43500789904267295,-0.1365249032285908,0.00031935909655880237,0.011654198697729413,0.04202836291596057,0.43500755847333555,-0.13652638317789378,0.0003193634728601141,0.011654367523973686,20260216T065144Z_d02deadc_seed0_prl_5f39,W1
20260216T065144Z_d02deadc_seed0_prl_5f39,prl_sac,0,low,test,0.07682975495663413,0.0004684741155892325,0.0831211086751027,0.03679312977667203,6.034073283374213,1.2789832670549637,-0.05039518507013241,164,0.03679312977667203,6.034073283374213,,,0.0005067587583257674,0.006289797609257908,0.07985821720943997,1.2325094832259595,-0.05061434194978387,0.0004883545486567363,0.006289921683966656,0.07985944155772273,1.232506095116371,-0.050615347170832714,0.0004883621934374313,0.006290037438424838,20260216T065144Z_d02deadc_seed0_prl_5f39,W1
20260216T065144Z_d02deadc_seed0_prl_5f39,prl_sac,0,mid,test,0.034001537102312795,0.00020859838713075334,0.03705989102260321,0.02930245783431338,4.7763006269930806,0.5429365531326983,-0.07238517516364129,163,0.02930245783431338,4.7763006269930806,,,0.0002500325748422602,0.007310511796056028,0.03458619107807026,0.5111526945992179,-0.072932267826325,0.00023537362213350648,0.007309832180437058,0.03458735832848059,0.5111618138896222,-0.07293356133844442,0.0002353813459251036,0.007309941638746512,20260216T065144Z_d02deadc_seed0_prl_5f39,W1
20260216T065144Z_d02deadc_seed0_prl_5f39,prl_sac,0,all,test,0.1520000636030545,0.00030957243096345116,0.17351452298601333,0.032599018914800715,16.00611828716715,0.6617869134788179,-0.1368262650915203,491,0.032599018914800715,16.00611828716715,,,0.0003642306065217372,0.008736923487976299,0.1641602979879615,0.6321757290024659,-0.13714277661397667,0.00034792451776600796,0.00873670126959911,0.16416338924448204,0.6321780263496877,-0.13714435944446268,0.0003479310970643368,0.008736834731825209,20260216T065144Z_d02deadc_seed0_prl_5f39,W1
20260216T070031Z_d02deadc_seed1_prl_894e,prl_sac,1,high,test,-0.024784204031675472,-0.00015112319531509434,-0.02356898748115399,0.011378498519739167,1.8660737572372235,-0.03771685366320521,-0.1702512526738914,164,0.011378498519739167,1.8660737572372235,,,-3.5245454516517385e-05,0.014834329766024088,-0.02447960873759203,-0.043807362644783486,-0.17064402220194608,-4.0936344713034764e-05,0.01483413487905109,-0.02447951228133971,-0.043805400921897594,-0.17064507565160636,-4.09347037763866e-05,0.01483420453713185,20260216T070031Z_d02deadc_seed1_prl_894e,W1
20260216T070031Z_d02deadc_seed1_prl_894e,prl_sac,1,low,test,0.06887236514376127,0.00041995344599854434,0.07280647041958899,0.017142950784477733,2.8114439286543482,0.8328373954287226,-0.0695520359781927,164,0.017142950784477733,2.8114439286543482,,,0.00046850803771194275,0.00893011597575477,0.07129946226604034,0.8176721499596307,-0.06977315275826113,0.0004599242827746355,0.008929094191613425,0.07130147360633132,0.817685538031914,-0.06977272127729484,0.0004599365623197039,0.008929186388885868,20260216T070031Z_d02deadc_seed1_prl_894e,W1
20260216T070031Z_d02deadc_seed1_prl_894e,prl_sac,1,mid,test,0.17389975989135564,0.001066869692585004,0.1909955296075272,0.010917428859625678,1.7795409041189854,1.4767050378928224,-0.0892579738554613,163,0.010917428859625678,1.7795409041189854,,,0.0011482043799621877,0.012343141652675318,0.1899362882874449,1.469669114227879,-0.08935751063544772,0.001142741053210156,0.012343221792450247,0.18993705721897824,1.4696687631188734,-0.08935796727423062,0.0011427456655323752,0.012343274560913201,20260216T070031Z_d02deadc_seed1_prl_894e,W1
20260216T070031Z_d02deadc_seed1_prl_894e,prl_sac,1,all,test,0.21798792100344144,0.00044396725255283387,0.24759343337267992,0.01315083215888097,6.457058590010557,0.6794825760451907,-0.14851986958939212,491,0.01315083215888097,6.457058590010557,,,0.0005258907893643307,0.012286198008511702,0.2435720365166134,0.6709946761863183,-0.14871955093430056,0.0005193091924956374,0.012285906511529863,0.24357529784758447,0.6709989426991478,-0.14872082705730094,0.0005193153732848903,0.012285974617464095,20260216T070031Z_d02deadc_seed1_prl_894e,W1
20260216T070916Z_d02deadc_seed2_prl_9bec,prl_sac,2,high,test,0.1132911551540019,0.000690799726548792,0.1219058823725867,0.021192244215559406,3.4755280513517426,0.9962836847450025,-0.12664554303144282,164,0.021192244215559406,3.4755280513517426,,,0.0007788450475346133,0.012409900937953926,0.11995796768823452,0.98271882433128,-0.12692357653215924,0.0007682428741567811,0.012409935830217529,0.1199587646296918,0.9827156388048314,-0.12692479267627044,0.0007682489254268333,0.012410073808191526,20260216T070916Z_d02deadc_seed2_prl_9bec,W1
20260216T070916Z_d02deadc_seed2_prl_9bec,prl_sac,2,low,test,0.21643676880285057,0.0013197363951393327,0.24377079635329935,0.02086540020957031,3.421925634369531,3.21261052041064,-0.06390885386512823,164,0.02086540020957031,3.421925634369531,,,0.0013533747022650634,0.006687445372161241,0.2416445702332466,3.1880563176191816,-0.0640948072451687,0.0013429248843766885,0.00668691814607769,0.24164795560213936,3.188063260890961,-0.06409540214930542,0.0013429420021602784,0.006686988818232462,20260216T070916Z_d02deadc_seed2_prl_9bec,W1
