ticker,kept,drop_reason,missing_fraction_raw,valid_obs_count,first_valid_date,return_std,max_abs_return,flat_fraction,market_closed_days_removed,market_closed_fraction_removed,total_days_before_drop,total_days_after_drop
AAPL,True,,0.0,4023,2010-01-04,0.01774769090366134,0.15328860338175065,0.0019885657469550086,151,0.03617632965979876,4174,4023
AMGN,True,,0.0,4023,2010-01-04,0.015369319647227181,0.11817926319444538,0.0014914243102162564,151,0.03617632965979876,4174,4023
AXP,True,,0.0,4023,2010-01-04,0.018349464604108672,0.21882226294285245,0.003479990057171265,151,0.03617632965979876,4174,4023
BA,True,,0.0,4023,2010-01-04,0.022613982264131242,0.24318605379189218,0.002485707183693761,151,0.03617632965979876,4174,4023
CAT,True,,0.0,4023,2010-01-04,0.01841830125990192,0.14282185666893754,0.0017399950285856326,151,0.03617632965979876,4174,4023
CRM,True,,0.0,4023,2010-01-04,0.02267118474600532,0.26044877429761115,0.002734277902063137,151,0.03617632965979876,4174,4023
CSCO,True,,0.0,4023,2010-01-04,0.016210960848249738,0.16210721523559712,0.013174248073576932,151,0.03617632965979876,4174,4023
CVX,True,,0.0,4023,2010-01-04,0.016774347338056987,0.22740695259055355,0.003231419338801889,151,0.03617632965979876,4174,4023
DIS,True,,0.0,4023,2010-01-04,0.016581154375731936,0.14412309763367914,0.005219985085756898,151,0.03617632965979876,4174,4023
GS,True,,0.0,4023,2010-01-04,0.018130966095394704,0.17580282051445748,0.0012428535918468805,151,0.03617632965979876,4174,4023
HD,True,,0.0,4023,2010-01-04,0.014624126314791121,0.19793845300728397,0.003479990057171265,151,0.03617632965979876,4174,4023
HON,True,,0.0,4023,2010-01-04,0.014467978777198798,0.1506835211659694,0.002734277902063137,151,0.03617632965979876,4174,4023
IBM,True,,0.0,4023,2010-01-04,0.014343326303832393,0.1296416362741346,0.002734277902063137,151,0.03617632965979876,4174,4023
INTC,True,,0.0,4023,2010-01-04,0.022015003547944816,0.2605851455985698,0.01019139945314442,151,0.03617632965979876,4174,4023
JNJ,True,,0.0,4023,2010-01-04,0.010647412863169189,0.10037873647962026,0.006711409395973154,151,0.03617632965979876,4174,4023
JPM,True,,0.0,4023,2010-01-04,0.017384143592634405,0.18012504567854212,0.005219985085756898,151,0.03617632965979876,4174,4023
KO,True,,0.0,4023,2010-01-04,0.010744301374138593,0.09672477329403917,0.010937111608252548,151,0.03617632965979876,4174,4023
MCD,True,,0.0,4023,2010-01-04,0.01170478144088133,0.18125437139360034,0.005219985085756898,151,0.03617632965979876,4174,4023
MMM,True,,0.0,4023,2010-01-04,0.014914536942651135,0.2299061441941188,0.0044742729306487695,151,0.03617632965979876,4174,4023
MRK,True,,0.0,4023,2010-01-04,0.013526399461567576,0.1040801737317234,0.00820283370618941,151,0.03617632965979876,4174,4023
MSFT,True,,0.0,4023,2010-01-04,0.016058938126548943,0.1473903824191295,0.00695998011434253,151,0.03617632965979876,4174,4023
NKE,True,,0.0,4023,2010-01-04,0.01824104651308308,0.1998089015134712,0.0044742729306487695,151,0.03617632965979876,4174,4023
PG,True,,0.0,4023,2010-01-04,0.010842485198109294,0.12009023527850005,0.00695998011434253,151,0.03617632965979876,4174,4023
TRV,False,DOWNLOAD_FAILED,1.0,0,,,,,151,0.03617632965979876,4174,4023
UNH,True,,0.0,4023,2010-01-04,0.017196064496905313,0.22379667082992105,0.0037285607755406414,151,0.03617632965979876,4174,4023
V,True,,0.0,4023,2010-01-04,0.015651504156260976,0.14997383660634456,0.002982848620432513,151,0.03617632965979876,4174,4023
VZ,True,,0.0,4023,2010-01-04,0.011716200157485375,0.09270447548449989,0.009942828734775044,151,0.03617632965979876,4174,4023
WBA,False,DOWNLOAD_FAILED,1.0,0,,,,,151,0.03617632965979876,4174,4023
WMT,True,,0.0,4023,2010-01-04,0.012348846541988218,0.11708492877634447,0.0044742729306487695,151,0.03617632965979876,4174,4023
DOW,False,FIRST_DATE_TOO_LATE,0.5759383544618444,1706,2019-03-20,,,,151,0.03617632965979876,4174,4023
