metric,n_pairs,delta_mean,delta_std,delta_p25,delta_median,delta_p75,delta_iqr
sharpe_net_exp,5,-0.3955795156369696,0.6883754035545401,-0.777010696134147,-0.6515503194958405,-0.5653671402605472,0.21164355587359973
cumulative_return_net_exp,5,-0.2076003555719827,0.33902593589687274,-0.3854292033481941,-0.32511920549587003,-0.09872117201615599,0.2867080313320381
max_drawdown_net_exp,5,0.020333931233202575,0.05397731975171026,-0.01736854422094969,-0.0016300139479105968,0.04475856651403269,0.06212711073498238
avg_turnover_exec,5,-0.020864297466880684,0.031376977151488204,-0.04801390938849381,-0.012849050454049299,-0.008915958099971501,0.03909795128852231
std_daily_net_return_exp,5,-0.0004992165239812996,0.0031585261150252042,-0.0008781701066444998,-0.0008489356845548992,0.0007116178036177014,0.0015897879102622012
avg_turnover_target,5,-0.208642972820933,0.3137697716222505,-0.4801390922380541,-0.1284905020101626,-0.08915957746923739,0.39097951476881676
