metric,baseline_p25,baseline_median,baseline_p75,baseline_iqr,prl_p25,prl_median,prl_p75,prl_iqr,delta_p25,delta_median,delta_p75,delta_iqr
sharpe_net_exp,1.2363618164468655,1.4091864251366129,1.4437788002367775,0.20741698378991202,0.6709946761863183,0.7293728892523128,0.792228480740937,0.12123380455461874,-0.777010696134147,-0.6515503194958405,-0.5653671402605472,0.21164355587359973
cumulative_return_net_exp,0.3422932085327694,0.5670622435807247,0.5706937669800971,0.2284005584473277,0.185264563631903,0.2419430380848546,0.2435720365166134,0.058307472884710415,-0.3854292033481941,-0.32511920549587003,-0.09872117201615599,0.2867080313320381
max_drawdown_net_exp,-0.17573104227091,-0.1438208825388726,-0.112641056254034,0.06308998601687599,-0.1487195509343005,-0.1371427766139766,-0.1300096004749837,0.01870995045931681,-0.01736854422094969,-0.0016300139479105968,0.04475856651403269,0.06212711073498238
avg_turnover_exec,0.0220667902588524,0.04544806936885,0.0792374775098278,0.057170687250975405,0.0203435366504988,0.031223568121334,0.0325990189148007,0.012255482264301901,-0.04801390938849381,-0.012849050454049299,-0.008915958099971501,0.03909795128852231
std_daily_net_return_exp,0.0084384343962392,0.0091350160574529,0.0106888593935242,0.0022504249972850002,0.0087367012695991,0.0091500521998569,0.0098106892868797,0.0010739880172806002,-0.0008781701066444998,-0.0008489356845548992,0.0007116178036177014,0.0015897879102622012
avg_turnover_target,0.2206679020258772,0.4544806905904215,0.7923747749947386,0.5717068729688615,0.2034353670296634,0.3122356827566845,0.3259901885802589,0.12255482155059552,-0.4801390922380541,-0.1284905020101626,-0.08915957746923739,0.39097951476881676
