kappa,selected_eta,baseline_eta,n_pairs,n_wins_sharpe,win_rate_sharpe,sign_test_one_sided_p,wilcoxon_two_sided_p_delta_sharpe,wilcoxon_skipped_reason_delta_sharpe,selected_median_sharpe_net_lin,selected_iqr_sharpe_net_lin,baseline_median_sharpe_net_lin,baseline_iqr_sharpe_net_lin,median_delta_sharpe_net_lin,iqr_delta_sharpe_net_lin,bootstrap_ci_low_median_delta_sharpe_net_lin,bootstrap_ci_high_median_delta_sharpe_net_lin,selected_median_cagr,selected_iqr_cagr,baseline_median_cagr,baseline_iqr_cagr,median_delta_cagr,iqr_delta_cagr,wilcoxon_two_sided_p_delta_cagr,wilcoxon_skipped_reason_delta_cagr,bootstrap_ci_low_median_delta_cagr,bootstrap_ci_high_median_delta_cagr,selected_median_turnover_exec,baseline_median_turnover_exec,median_delta_turnover_exec,selected_median_maxdd,baseline_median_maxdd,median_delta_maxdd
0.0,0.5,1.0,10,5,0.5,0.623046875,0.76953125,,1.1553568386914794,0.013782623331422661,1.154216758044031,0.01478740729285355,-0.0002460831229804672,0.0027712378736242105,-0.002213070386940519,0.0028302050489649178,0.16503575566415746,0.0031977936959849407,0.1650554726881521,0.0027984487319124007,-1.9717023994655913e-05,0.0006012353288233491,0.76953125,,-0.00039961312280714645,0.0005232677552646919,0.0109492401965068,0.02199536013714075,-0.01104611994063395,-0.15608183000502346,-0.15587452931680507,-0.00010846039173638411
0.0005,0.5,1.0,10,10,1.0,0.0009765625,0.001953125,,1.1446627546456314,0.015564023894869772,1.1339723986464616,0.01653207184192551,0.010502874457528955,0.0050547700239410576,0.007322953758403861,0.012867475022682928,0.16328582972988753,0.003364405870864312,0.161551118519697,0.0029815452597330983,0.0017347112101905454,0.0009168630109530201,0.001953125,,0.0011902204360715457,0.0021781301264648945,0.0109492401965068,0.02199536013714075,-0.01104611994063395,-0.156234560085253,-0.15616953722237364,2.992417308819717e-05
0.001,0.5,1.0,10,10,1.0,0.0009765625,0.001953125,,1.1339688930137783,0.0173447653334049,1.1127180153357252,0.015910144172050167,0.021250877678053226,0.0046308499434190575,0.016682392970770676,0.023287947060127934,0.16153852933670715,0.0036390200605264378,0.15805728686030915,0.0030370644915825307,0.003481242476398,0.000869212067339184,0.001953125,,0.002706833626515165,0.0038490267411099566,0.0109492401965068,0.02199536013714075,-0.01104611994063395,-0.1563872633731369,-0.15646444491013323,0.00017806589279494023
