kappa,seed,selected_eta,baseline_eta,selected_sharpe_net_lin,baseline_sharpe_net_lin,delta_sharpe_net_lin,selected_cagr,baseline_cagr,delta_cagr,selected_turnover_exec,baseline_turnover_exec,delta_turnover_exec,selected_maxdd,baseline_maxdd,delta_maxdd
0.0,0,0.2,1.0,1.2250227822927695,1.2309620156456689,-0.005939233352899365,0.1354915941398642,0.136400919481693,-0.0009093253418288039,0.0049846503611483,0.0211290225233823,-0.016144372162234,-0.0633824308435361,-0.0637337593509694,0.0003513285074332878
0.0,1,0.2,1.0,1.278539316010224,1.262889779383065,0.015649536627159177,0.1416042318835391,0.1397979365402124,0.0018062953433267137,0.0055336826154709,0.0236550818183111,-0.0181213992028402,-0.0619937411102711,-0.0620283184779718,3.457736770069719e-05
0.0,2,0.2,1.0,1.2216325309957443,1.232434715755925,-0.010802184760180689,0.135372965999293,0.1365864369073717,-0.0012134709080787176,0.0049870766090845,0.0225426429600273,-0.017555566350942797,-0.0634373163696103,-0.0635278790114971,9.056264188680996e-05
0.0,3,0.2,1.0,1.1606112978735048,1.1540292146704965,0.006582083203008349,0.1288759190956414,0.1281066106578825,0.000769308437758881,0.0043526425567963,0.0181190369440403,-0.013766394387243999,-0.0659532439267853,-0.066466440720539,0.0005131967937537091
0.0,4,0.2,1.0,1.2968399369057226,1.3024402433428608,-0.005600306437138158,0.1434442652086494,0.1442776383592663,-0.0008333731506169062,0.0047014439577193,0.0201026421223256,-0.015401198164606302,-0.0608563107542516,-0.0608576165744693,1.3058202176993716e-06
0.0,5,0.2,1.0,1.20838465364987,1.2041506622164686,0.004233991433401307,0.134642547234048,0.1343065190681396,0.0003360281659084141,0.0042792335564858,0.019679269600598,-0.015400036044112202,-0.064511484171569,-0.0647423174417261,0.00023083327015709088
0.0,6,0.2,1.0,1.1748514837550623,1.1802654395621328,-0.005413955807070492,0.1297119197474798,0.1302164313477158,-0.0005045116002359851,0.0059264390122996,0.0231493464521859,-0.0172229074398863,-0.0672266828396525,-0.0674382665983566,0.00021158375870410084
0.0,7,0.2,1.0,1.257970961747487,1.248964921136097,0.009006040611390098,0.1393291339370415,0.1384172146097615,0.0009119193272799919,0.0048190682036713,0.0197639635462657,-0.014944895342594399,-0.06142640242746,-0.0623042279087251,0.000877825481265096
0.0,8,0.2,1.0,1.1823298294059312,1.155096883288553,0.027232946117378143,0.1312564817708905,0.1276925880870563,0.003563893683834196,0.005934755105227,0.0250001412429271,-0.019065386137700098,-0.0645192299852718,-0.0657282943476779,0.001209064362406101
0.0,9,0.2,1.0,1.2091324627929108,1.1858549346933962,0.023277528099514555,0.1341198709484903,0.1312540985831951,0.0028657723652951994,0.005769275048929,0.0242083578687164,-0.0184390828197874,-0.0654243652992441,-0.0654124411896247,-1.1924109619393386e-05
0.0005,0,0.2,1.0,1.2192511340853764,1.2064396302018805,0.012811503883495945,0.1347791443533947,0.1333806514958522,0.0013984928575424826,0.0049846503611483,0.0211290225233823,-0.016144372162234,-0.0634216537704542,-0.0639037897840361,0.0004821360135819075
0.0005,1,0.2,1.0,1.2720883691777631,1.2352730771219098,0.03681529205585332,0.1408088634517119,0.1364064570837813,0.0044024063679306,0.0055336826154709,0.0236550818183111,-0.0181213992028402,-0.0620387191435368,-0.0622267252813903,0.00018800613785349696
0.0005,2,0.2,1.0,1.2158665878770345,1.2062634887804058,0.009603099096628709,0.1346601996093708,0.1333637502575826,0.0012964493517882147,0.0049870766090845,0.0225426429600273,-0.017555566350942797,-0.0634777931436082,-0.0637153657606702,0.00023757261706200405
0.0005,3,0.2,1.0,1.15560728444015,1.1331857607350642,0.022421523705085766,0.1282572281289953,0.1255348634503967,0.002722364678598599,0.0043526425567963,0.0181190369440403,-0.013766394387243999,-0.0659856611492875,-0.0665710584809886,0.0005853973317010985
0.0005,4,0.2,1.0,1.29136021424318,1.2789386679268686,0.012421546316311316,0.1427675696577222,0.1413839117540534,0.001383657903668789,0.0047014439577193,0.0201026421223256,-0.015401198164606302,-0.0609002371283791,-0.0610428634887086,0.00014262636032949527
0.0005,5,0.2,1.0,1.2034708990567735,1.1815259558366693,0.021944943220104207,0.1340313259882457,0.1314985024797033,0.0025328235085423922,0.0042792335564858,0.019679269600598,-0.015400036044112202,-0.064542177034393,-0.0648743893651541,0.00033221233076111134
0.0005,6,0.2,1.0,1.1679869991247145,1.153394139274156,0.01459285985055847,0.128868951297602,0.1269254974123579,0.0019434538852441119,0.0059264390122996,0.0231493464521859,-0.0172229074398863,-0.0672936334174154,-0.0676680005371993,0.00037436711978390547
0.0005,7,0.2,1.0,1.2523582205533808,1.2259829022386008,0.026375318314779905,0.1386377682001591,0.1355867140588493,0.0030510541413097947,0.0048190682036713,0.0197639635462657,-0.014944895342594399,-0.0614629367408345,-0.0624573661669566,0.000994429426122101
0.0005,8,0.2,1.0,1.175512442980715,1.1263242366872266,0.04918820629348852,0.1304114692473801,0.124148297832201,0.006263171415179097,0.005934755105227,0.0250001412429271,-0.019065386137700098,-0.0645645860036073,-0.0659043138147067,0.0013397278110993949
0.0005,9,0.2,1.0,1.2024607144780588,1.157873009986851,0.04458770449120775,0.1332960834049859,0.1278102111228591,0.005485872282126797,0.005769275048929,0.0242083578687164,-0.0184390828197874,-0.0654701638848591,-0.0656246200520171,0.00015445616715799304
0.001,0,0.2,1.0,1.213479324314061,1.1819177194371842,0.03156160487687676,0.1340671394391506,0.1303683696849809,0.0036987697541697173,0.0049846503611483,0.0211290225233823,-0.016144372162234,-0.0634608751754339,-0.0640737917099788,0.0006129165345448995
0.001,1,0.2,1.0,1.2656374580074503,1.2076598970247885,0.057977560982661824,0.1400140466673991,0.1330250227895646,0.00698902387783451,0.0055336826154709,0.0236550818183111,-0.0181213992028402,-0.0620836951876021,-0.0624250932524942,0.00034139806489209834
0.001,2,0.2,1.0,1.2101005326021743,1.1800934599385229,0.030007072663651435,0.1339478786561139,0.1301501577399957,0.0037977209161182135,0.0049870766090845,0.0225426429600273,-0.017555566350942797,-0.0635182682998459,-0.0639028179178167,0.00038454961797079745
0.001,3,0.2,1.0,1.1506032758466989,1.1123430940667067,0.03826018177999213,0.1276388746861529,0.1229689515502858,0.004669923135867102,0.0043526425567963,0.0181190369440403,-0.013766394387243999,-0.066018077329872,-0.0666756654086354,0.0006575880787633992
0.001,4,0.2,1.0,1.2858803708466202,1.2554382240588542,0.030442146787766022,0.1420912727416952,0.1384974684571107,0.003593804284584501,0.0047014439577193,0.0201026421223256,-0.015401198164606302,-0.0609441616179028,-0.0612280766945428,0.0002839150766399956
0.001,5,0.2,1.0,1.1985570545462676,1.158901528412137,0.0396555261341307,0.1334204325141088,0.1286974052077512,0.004723027306357597,0.0042792335564858,0.019679269600598,-0.015400036044112202,-0.0645728689678898,-0.0650064441195665,0.00043357515167670446
0.001,6,0.2,1.0,1.1611225570735155,1.126524456547098,0.03459810052641754,0.1280266089577377,0.1236440991953586,0.004382509762379111,0.0059264390122996,0.0231493464521859,-0.0172229074398863,-0.0673605795343984,-0.0678976825324254,0.000537102998026992
0.001,7,0.2,1.0,1.2467455562551415,1.203001967308999,0.04374358894614239,0.1379468201271589,0.1327632188309309,0.0051836012962279965,0.0048190682036713,0.0197639635462657,-0.014944895342594399,-0.0614994697303534,-0.0626104814602093,0.0011110117298559
0.001,8,0.2,1.0,1.1686948082555466,1.0975473274943923,0.07114748076115429,0.1295670849384833,0.1206150918373432,0.008951993101140088,0.005934755105227,0.0250001412429271,-0.019065386137700098,-0.0646099400087122,-0.0660803029986578,0.0014703629899456006
