seed,kappa,eta,run_id,baseline_run_id,delta_sharpe,delta_cagr,delta_maxdd
7,0.001,0.2,20260324T084209Z_95b3729b_seed7_prl_4500,20260324T084209Z_95b3729b_seed7_prl_4500,-0.01122540549234552,-0.0013823138098826016,-7.306730289339397e-05
7,0.0005,1.0,20260324T084209Z_95b3729b_seed7_prl_4500,20260324T084209Z_95b3729b_seed7_prl_4500,-0.02298201889749607,-0.0028305005509121905,-0.00015313825823150273
7,0.001,1.0,20260324T084209Z_95b3729b_seed7_prl_4500,20260324T084209Z_95b3729b_seed7_prl_4500,-0.04596295382709781,-0.005653995778830606,-0.00030625355148419797
8,0.0005,0.2,20260324T085715Z_95b3729b_seed8_prl_2739,20260324T085715Z_95b3729b_seed8_prl_2739,-0.006817386425216121,-0.0008450125235104078,-4.5356018335496184e-05
8,0.001,0.2,20260324T085715Z_95b3729b_seed8_prl_2739,20260324T085715Z_95b3729b_seed8_prl_2739,-0.013635021150384619,-0.0016893968324072084,-9.071002344039625e-05
8,0.0005,1.0,20260324T085715Z_95b3729b_seed8_prl_2739,20260324T085715Z_95b3729b_seed8_prl_2739,-0.0287726466013265,-0.003544290254855309,-0.00017601946702879012
8,0.001,1.0,20260324T085715Z_95b3729b_seed8_prl_2739,20260324T085715Z_95b3729b_seed8_prl_2739,-0.05754955579416077,-0.0070774962497131,-0.00035200865097989587
9,0.0005,0.2,20260324T091156Z_95b3729b_seed9_prl_4104,20260324T091156Z_95b3729b_seed9_prl_4104,-0.006671748314851955,-0.0008237875435044006,-4.579858561500061e-05
9,0.001,0.2,20260324T091156Z_95b3729b_seed9_prl_4104,20260324T091156Z_95b3729b_seed9_prl_4104,-0.013343472528666744,-0.001646979412848193,-9.159509336610638e-05
9,0.0005,1.0,20260324T091156Z_95b3729b_seed9_prl_4104,20260324T091156Z_95b3729b_seed9_prl_4104,-0.027981924706545147,-0.003443887460335998,-0.00021217886239238704
9,0.001,1.0,20260324T091156Z_95b3729b_seed9_prl_4104,20260324T091156Z_95b3729b_seed9_prl_4104,-0.0559639974895525,-0.006877338670438993,-0.0004243131307705983
