schema_version,run_id,model_type,seed,timesteps,actor_loss,critic_loss,entropy_loss,ent_coef,ent_coef_loss,alpha_obs_mean,alpha_next_mean,prl_prob_mean,vz_mean,alpha_raw_mean,alpha_clamped_mean,emergency_rate,beta_effective_mean
1.1,20260121T093800Z_7ae86daf_seed0_baseline_74db,baseline,0,1,,,,,,,,,,,,,
1.1,20260121T093800Z_7ae86daf_seed0_baseline_74db,baseline,0,2,,,,,,,,,,,,,
1.1,20260121T093800Z_7ae86daf_seed0_baseline_74db,baseline,0,3,,,,,,,,,,,,,
1.1,20260121T093800Z_7ae86daf_seed0_baseline_74db,baseline,0,4,,,,,,,,,,,,,
1.1,20260121T093800Z_7ae86daf_seed0_baseline_74db,baseline,0,5,,,,,,,,,,,,,
