schema_version,run_id,model_type,seed,timesteps,actor_loss,critic_loss,entropy_loss,ent_coef,ent_coef_loss,alpha_obs_mean,alpha_next_mean
1.1,20260121T091308Z_5e2e35ad_seed0_baseline_6af0,baseline,0,1,0.0,0.0,0.0,,,,
1.1,20260121T091308Z_5e2e35ad_seed0_baseline_6af0,baseline,0,2,0.0,0.0,0.0,,,,
