schema_version,run_id,model_type,seed,timesteps,actor_loss,critic_loss,entropy_loss,ent_coef,ent_coef_loss,alpha_obs_mean,alpha_next_mean,prl_prob_mean,vz_mean,alpha_raw_mean,alpha_clamped_mean,emergency_rate,beta_effective_mean
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1800,-41.164161682128906,0.2430541217327118,-4.797976493835449,,,0.2828541398048401,0.28294020891189575,0.4142705798149109,-0.16420608758926392,0.2828541398048401,0.2828541398048401,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1801,-41.202919006347656,0.21659614145755768,-4.837575912475586,,,0.2813549339771271,0.2810162901878357,0.4067746102809906,-0.18387120962142944,0.2813549339771271,0.2813549339771271,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1802,-41.31438446044922,0.279735267162323,-4.852822303771973,,,0.28575757145881653,0.2857070565223694,0.42878782749176025,-0.13739098608493805,0.28575757145881653,0.28575757145881653,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1803,-41.494102478027344,0.21171319484710693,-4.9265241622924805,,,0.2847737669944763,0.28507000207901,0.4238688349723816,-0.15013688802719116,0.2847737669944763,0.2847737669944763,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1804,-41.21834945678711,0.29146140813827515,-4.85865592956543,,,0.28160360455513,0.281015545129776,0.4080180525779724,-0.18394479155540466,0.28160360455513,0.28160360455513,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1805,-41.42457580566406,0.25050804018974304,-4.90189266204834,,,0.2826650142669678,0.2824578285217285,0.41332507133483887,-0.16574504971504211,0.2826650142669678,0.2826650142669678,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1806,-41.307647705078125,0.28996044397354126,-4.8211164474487305,,,0.2808278799057007,0.28078609704971313,0.4041394293308258,-0.1981096714735031,0.2808278799057007,0.2808278799057007,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1807,-41.97526550292969,0.2554611563682556,-4.879255771636963,,,0.2868199944496155,0.28674042224884033,0.43410003185272217,-0.11547546088695526,0.2868199944496155,0.2868199944496155,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1808,-41.53153991699219,0.21702490746974945,-4.864052772521973,,,0.2832067608833313,0.2832087278366089,0.4160338044166565,-0.15887942910194397,0.2832067608833313,0.2832067608833313,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1809,-41.73728942871094,0.18500995635986328,-4.887157440185547,,,0.2854054570198059,0.2854943871498108,0.4270273745059967,-0.1381852924823761,0.2854054570198059,0.2854054570198059,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1810,-41.4806022644043,0.24381405115127563,-4.818560600280762,,,0.28345251083374023,0.28326231241226196,0.41726240515708923,-0.1624675840139389,0.28345251083374023,0.28345251083374023,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1811,-41.761775970458984,0.2550347149372101,-4.903597831726074,,,0.28612959384918213,0.28648704290390015,0.43064790964126587,-0.12107661366462708,0.28612959384918213,0.28612959384918213,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1812,-41.61707305908203,0.23860222101211548,-4.892769813537598,,,0.28274524211883545,0.2828538417816162,0.4137261211872101,-0.16299320757389069,0.28274524211883545,0.28274524211883545,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1813,-41.672950744628906,0.2272971123456955,-4.857752799987793,,,0.2844739258289337,0.2844013273715973,0.4223695993423462,-0.14084260165691376,0.2844739258289337,0.2844739258289337,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1814,-41.19696807861328,0.18184854090213776,-4.8525471687316895,,,0.27921366691589355,0.2786915898323059,0.39606839418411255,-0.21810078620910645,0.27921366691589355,0.27921366691589355,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1815,-41.89835739135742,0.2883404493331909,-4.9708638191223145,,,0.2857728898525238,0.2856179475784302,0.428864449262619,-0.12133960425853729,0.2857728898525238,0.2857728898525238,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1816,-41.65382385253906,0.22600476443767548,-4.9385223388671875,,,0.2847875952720642,0.2844894230365753,0.4239378571510315,-0.14261648058891296,0.2847875952720642,0.2847875952720642,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1817,-41.76737976074219,0.27776387333869934,-4.881665229797363,,,0.28318220376968384,0.2835218906402588,0.41591089963912964,-0.15699279308319092,0.28318220376968384,0.28318220376968384,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1818,-41.5177116394043,0.24362891912460327,-4.899651527404785,,,0.28253304958343506,0.282155305147171,0.4126652181148529,-0.17774900794029236,0.28253304958343506,0.28253304958343506,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1819,-41.916282653808594,0.26411911845207214,-4.894349098205566,,,0.2851408123970032,0.2851889729499817,0.42570406198501587,-0.13873456418514252,0.2851408123970032,0.2851408123970032,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1820,-41.794090270996094,0.24994677305221558,-4.953760147094727,,,0.28279244899749756,0.28261563181877136,0.4139622151851654,-0.1539546400308609,0.28279244899749756,0.28279244899749756,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1821,-41.61371994018555,0.23841620981693268,-4.826322078704834,,,0.28064966201782227,0.28023797273635864,0.40324825048446655,-0.1971026360988617,0.28064966201782227,0.28064966201782227,0.0,1.0
1.1,20260121T114642Z_f5b9282c_seed2_prl_697b,prl,2,1822,-41.88735580444336,0.20857086777687073,-4.859525680541992,,,0.28400859236717224,0.2838785946369171,0.4200429618358612,-0.1509142369031906,0.28400859236717224,0.28400859236717224,0.0,1.0
