eval_window,model_type,total_reward_mean,total_reward_std,avg_reward_mean,avg_reward_std,cumulative_return_mean,cumulative_return_std,cumulative_return_net_exp_mean,cumulative_return_net_exp_std,cumulative_return_net_lin_mean,cumulative_return_net_lin_std,avg_turnover_mean,avg_turnover_std,total_turnover_mean,total_turnover_std,sharpe_mean,sharpe_std,sharpe_net_exp_mean,sharpe_net_exp_std,sharpe_net_lin_mean,sharpe_net_lin_std,max_drawdown_mean,max_drawdown_std,max_drawdown_net_exp_mean,max_drawdown_net_exp_std,max_drawdown_net_lin_mean,max_drawdown_net_lin_std,steps_mean,steps_std
test,baseline_sac,0.002937789029623804,0.0,0.0009792630098746013,0.0,0.00495000000000001,0.0,0.0029421085607364006,0.0,0.0029510449999998745,0.0,0.08333333333333333,0.0,0.25,0.0,4.242640687119286,0.0,2.6900574268794166,0.0,2.6961511028187513,0.0,-0.0050000000000000044,0.0,-0.005994502665791823,0.0,-0.005994999999999973,0.0,3.0,0.0
test,prl_sac,0.002937789029623804,0.0,0.0009792630098746013,0.0,0.00495000000000001,0.0,0.0029421085607364006,0.0,0.0029510449999998745,0.0,0.08333333333333333,0.0,0.25,0.0,4.242640687119286,0.0,2.6900574268794166,0.0,2.6961511028187513,0.0,-0.0050000000000000044,0.0,-0.005994502665791823,0.0,-0.005994999999999973,0.0,3.0,0.0
