split_id,label,status,run_root,selected_eta,delta_sharpe_exec_k0,selected_toexec_k0,baseline_toexec_k0,totgt_selected_k0,tracking_selected_k0,target_delta_sharpe_k0,n_pairs_k0,delta_sharpe_exec_k5e4,selected_toexec_k5e4,baseline_toexec_k5e4,totgt_selected_k5e4,tracking_selected_k5e4,target_delta_sharpe_k5e4,n_pairs_k5e4,delta_sharpe_exec_k1e3,selected_toexec_k1e3,baseline_toexec_k1e3,totgt_selected_k1e3,tracking_selected_k1e3,target_delta_sharpe_k1e3,n_pairs_k1e3,zero_cost_near_flat_flag,positive_cost_direction_flag,target_vs_executed_disagreement_flag
split_a,Split A,launch,/workspace/execution-aware-portfolio-rl/paper/forecasting_workshop/generalization/multi_split_compact_v1/splits/split_a,1.0,0.0,0.0165910430655609,0.0165910430655609,0.0165910430835367,8.202430303640744e-10,0.0,3,0.0,0.0165910430655609,0.0165910430655609,0.0165910430835367,8.202430303640744e-10,0.0,3,0.0,0.0165910430655609,0.0165910430655609,0.0165910430835367,8.202430303640744e-10,0.0,3,yes,no,no
split_b,Split B,launch,/workspace/execution-aware-portfolio-rl/paper/forecasting_workshop/generalization/multi_split_compact_v1/splits/split_b,1.0,0.0,0.0200266719445955,0.0200266719445955,0.0200266719727139,8.32585984045267e-10,0.0,3,0.0,0.0200266719445955,0.0200266719445955,0.0200266719727139,8.32585984045267e-10,0.0,3,0.0,0.0200266719445955,0.0200266719445955,0.0200266719727139,8.32585984045267e-10,0.0,3,yes,no,no
split_c,Split C,launch,/workspace/execution-aware-portfolio-rl/paper/forecasting_workshop/generalization/multi_split_compact_v1/splits/split_c,1.0,0.0,0.0187637028946157,0.0187637028946157,0.0187637029164282,8.101692101860164e-10,0.0,3,0.0,0.0187637028946157,0.0187637028946157,0.0187637029164282,8.101692101860164e-10,0.0,3,0.0,0.0187637028946157,0.0187637028946157,0.0187637029164282,8.101692101860164e-10,0.0,3,yes,no,no
split_d,Split D,canonical_reference,/workspace/execution-aware-portfolio-rl/repro/rebuilds/paper_rebuild_20260324T065755Z,0.5,-0.0002460831229804,0.0109492401965068,0.0219953601371407,0.0218984804538441,0.0025868408975335,-1.5807386444244287e-07,10,0.0105028744575289,0.0109492401965068,0.0219953601371407,0.0218984804538441,0.0025868408975335,-0.00014953809363837944,10,0.0212508776780532,0.0109492401965068,0.0219953601371407,0.0218984804538441,0.0025868408975335,-0.0003075620060849493,10,yes,yes,yes
