seed,kappa,eta,run_id,baseline_run_id,delta_sharpe,delta_cagr,delta_maxdd
7,0.001,0.5,20260324T084209Z_95b3729b_seed7_prl_4500,20260324T084209Z_95b3729b_seed7_prl_4500,-0.019090134308907825,-0.003103801904750708,-0.000304527204134597
7,0.0005,1.0,20260324T084209Z_95b3729b_seed7_prl_4500,20260324T084209Z_95b3729b_seed7_prl_4500,-0.0186126191692102,-0.003022767421422906,-0.0002927006245130037
7,0.001,1.0,20260324T084209Z_95b3729b_seed7_prl_4500,20260324T084209Z_95b3729b_seed7_prl_4500,-0.037223778406040076,-0.006037712475191609,-0.0005853033021435972
8,0.0005,0.5,20260324T085715Z_95b3729b_seed8_prl_2739,20260324T085715Z_95b3729b_seed8_prl_2739,-0.01171159902401353,-0.0019232511800026941,-0.000161313606756891
8,0.001,0.5,20260324T085715Z_95b3729b_seed8_prl_2739,20260324T085715Z_95b3729b_seed8_prl_2739,-0.023423338853910014,-0.0038433370045724835,-0.00032259739387099917
8,0.0005,1.0,20260324T085715Z_95b3729b_seed8_prl_2739,20260324T085715Z_95b3729b_seed8_prl_2739,-0.022876733237506386,-0.003752656097921997,-0.00032046590076731385
8,0.001,1.0,20260324T085715Z_95b3729b_seed8_prl_2739,20260324T085715Z_95b3729b_seed8_prl_2739,-0.04575449198275994,-0.00749325847440141,-0.0006408140913714
9,0.0005,0.5,20260324T091156Z_95b3729b_seed9_prl_4104,20260324T091156Z_95b3729b_seed9_prl_4104,-0.011321620836757251,-0.0018527738734847865,-0.0001824646884587
9,0.001,0.5,20260324T091156Z_95b3729b_seed9_prl_4104,20260324T091156Z_95b3729b_seed9_prl_4104,-0.0226426790031804,-0.0037026147344713933,-0.000364891150120783
9,0.0005,1.0,20260324T091156Z_95b3729b_seed9_prl_4104,20260324T091156Z_95b3729b_seed9_prl_4104,-0.022576313875984466,-0.0036931238973839098,-0.0003573902803097051
9,0.001,1.0,20260324T091156Z_95b3729b_seed9_prl_4104,20260324T091156Z_95b3729b_seed9_prl_4104,-0.04515112048242509,-0.007374594877278096,-0.0007146340505563009
