ticker,kept,drop_reason,missing_fraction_raw,valid_obs_count,first_valid_date,return_std,max_abs_return,flat_fraction,market_closed_days_removed,market_closed_fraction_removed,total_days_before_drop,total_days_after_drop
CMCSA,True,,0.0,4023,2010-01-04,0.015508543408259237,0.12564379922511448,0.009694258016405667,151,0.03617632965979876,4174,4023
GOOGL,True,,0.0,4023,2010-01-04,0.01743272198671265,0.16258450170002048,0.0009942828734775043,151,0.03617632965979876,4174,4023
NFLX,True,,0.0,4023,2010-01-04,0.030958930222585373,0.42223507313003394,0.0017399950285856326,151,0.03617632965979876,4174,4023
AMZN,True,,0.0,4023,2010-01-04,0.020681628528157015,0.157456930894307,0.002485707183693761,151,0.03617632965979876,4174,4023
HD,True,,0.0,4023,2010-01-04,0.014624120955524884,0.1979385146724244,0.003479990057171265,151,0.03617632965979876,4174,4023
SBUX,True,,0.0,4023,2010-01-04,0.017612779629650896,0.24496947507192157,0.004971414367387522,151,0.03617632965979876,4174,4023
KO,True,,0.0,4023,2010-01-04,0.010744297954553207,0.09672471591102538,0.010937111608252548,151,0.03617632965979876,4174,4023
PEP,True,,0.0,4023,2010-01-04,0.011085444446179937,0.12936625951510217,0.005468555804126274,151,0.03617632965979876,4174,4023
WMT,True,,0.0,4023,2010-01-04,0.012348845926723964,0.11708528076299896,0.0044742729306487695,151,0.03617632965979876,4174,4023
COP,True,,0.0,4023,2010-01-04,0.021242993684248174,0.25213837451682464,0.00571712652249565,151,0.03617632965979876,4174,4023
CVX,True,,0.0,4023,2010-01-04,0.01677435413194288,0.22740669716299022,0.003231419338801889,151,0.03617632965979876,4174,4023
XOM,True,,0.0,4023,2010-01-04,0.01566408940961979,0.12686795462651235,0.0044742729306487695,151,0.03617632965979876,4174,4023
BLK,True,,0.0,4023,2010-01-04,0.017321660412787595,0.13654589968342934,0.0012428535918468805,151,0.03617632965979876,4174,4023
JPM,True,,0.0,4023,2010-01-04,0.017384149801757193,0.18012509894033202,0.005219985085756898,151,0.03617632965979876,4174,4023
MS,True,,0.0,4023,2010-01-04,0.02124788754728328,0.19770067190880036,0.005965697240865026,151,0.03617632965979876,4174,4023
ABT,True,,0.0,4023,2010-01-04,0.013532032441185851,0.1093600685836762,0.009197116579666915,151,0.03617632965979876,4174,4023
JNJ,True,,0.0,4023,2010-01-04,0.01064741746010908,0.10037889313740744,0.006462838677603778,151,0.03617632965979876,4174,4023
LLY,True,,0.0,4023,2010-01-04,0.016450019855132662,0.15679823805155713,0.004722843649018146,151,0.03617632965979876,4174,4023
CAT,True,,0.0,4023,2010-01-04,0.018418304685022972,0.14282172349155053,0.0017399950285856326,151,0.03617632965979876,4174,4023
DE,True,,0.0,4023,2010-01-04,0.017681279047882945,0.14072201070892154,0.003977131493910017,151,0.03617632965979876,4174,4023
HON,True,,0.0,4023,2010-01-04,0.014467982732940882,0.15068350690816623,0.002734277902063137,151,0.03617632965979876,4174,4023
AAPL,True,,0.0,4023,2010-01-04,0.017747699749056763,0.1532884850891707,0.0019885657469550086,151,0.03617632965979876,4174,4023
MSFT,True,,0.0,4023,2010-01-04,0.016058938796979436,0.14739048470517802,0.007208550832711907,151,0.03617632965979876,4174,4023
ORCL,True,,0.0,4023,2010-01-04,0.019017217330176188,0.35948822686559323,0.007705692269450659,151,0.03617632965979876,4174,4023
AEP,True,,0.0,4023,2010-01-04,0.0122283750648367,0.11682590466876097,0.006462838677603778,151,0.03617632965979876,4174,4023
DUK,True,,0.0,4023,2010-01-04,0.011675003157382912,0.12300857871199611,0.010937111608252548,151,0.03617632965979876,4174,4023
NEE,True,,0.0,4023,2010-01-04,0.014081136614199661,0.1369040353108606,0.003977131493910017,151,0.03617632965979876,4174,4023
