model_type,n_seeds,total_reward_mean,total_reward_std,total_reward_ci_low,total_reward_ci_high,avg_reward_mean,avg_reward_std,avg_reward_ci_low,avg_reward_ci_high,cumulative_return_mean,cumulative_return_std,cumulative_return_ci_low,cumulative_return_ci_high,avg_turnover_mean,avg_turnover_std,avg_turnover_ci_low,avg_turnover_ci_high,total_turnover_mean,total_turnover_std,total_turnover_ci_low,total_turnover_ci_high,sharpe_mean,sharpe_std,sharpe_ci_low,sharpe_ci_high,max_drawdown_mean,max_drawdown_std,max_drawdown_ci_low,max_drawdown_ci_high,steps_mean,steps_std,steps_ci_low,steps_ci_high
baseline_sac,3,0.4211309597894039,0.009130662839540515,0.40930296438455116,0.43153131451742865,0.0004332623043100863,9.393686048910001e-06,0.00042109358475776867,0.00044396225773398016,0.5542183135331143,0.017047674970808797,0.5321902112113823,0.5737180505202992,0.040702693470576846,0.003810755586027515,0.03579269421233573,0.045081677940519614,39.5630180534007,3.7040544296187465,34.79049877439033,43.81939095818506,0.8257070256470528,0.019053855568568614,0.7994796980357121,0.8441750879079524,-0.19331522132836834,0.0029389798406779144,-0.19551554485306166,-0.18916131824661075,972.0,0.0,972.0,972.0
buy_and_hold_equal_weight,3,0.43148797883510537,0.0,0.43148797883510537,0.43148797883510537,0.0004439176736986681,0.0,0.0004439176736986681,0.0004439176736986681,0.5395466328581724,0.0,0.5395466328581724,0.5395466328581724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8329189692072972,1.1102230246251565e-16,0.8329189692072972,0.8329189692072972,-0.19369434744126712,0.0,-0.19369434744126712,-0.19369434744126712,972.0,0.0,972.0,972.0
daily_rebalanced_equal_weight,3,0.4382582865564289,5.551115123125783e-17,0.4382582865564289,0.4382582865564289,0.0004508830108605236,0.0,0.0004508830108605236,0.0004508830108605236,0.5572347105154629,0.0,0.5572347105154629,0.5572347105154629,0.009574774255214025,0.0,0.009574774255214025,0.009574774255214025,9.306680576068032,0.0,9.306680576068032,9.306680576068032,0.8292677394592661,0.0,0.8292677394592661,0.8292677394592661,-0.19572130122424813,0.0,-0.19572130122424813,-0.19572130122424813,972.0,0.0,972.0,972.0
inverse_vol_risk_parity,3,0.37511474817524454,5.551115123125783e-17,0.37511474817524454,0.37511474817524454,0.00038592052281403755,0.0,0.00038592052281403755,0.00038592052281403755,0.4774372291427773,0.0,0.4774372291427773,0.4774372291427773,0.03126386155276597,0.0,0.03126386155276597,0.03126386155276597,30.388473429288524,0.0,30.388473429288524,30.388473429288524,0.7873938974230681,0.0,0.7873938974230681,0.7873938974230681,-0.18411977983854377,0.0,-0.18411977983854377,-0.18411977983854377,972.0,0.0,972.0,972.0
prl_sac,3,0.42042588470231596,0.010318637766375469,0.407277629265991,0.4324821618407668,0.00043253691841802053,1.061588247569491e-05,0.0004190099066522541,0.0004449404957209535,0.5679760884296045,0.019313863548995606,0.5446200012200297,0.5919182210946476,0.0602550200031658,0.004629283982820446,0.05658495337593059,0.06678508936607394,58.56787944307715,4.499664031301472,55.000574681404544,64.91510686382387,0.8411680233008573,0.019752566586147276,0.817402659144442,0.8657649269437145,-0.19519184485162508,0.0018998236940503041,-0.197346758670099,-0.19272469195803577,972.0,0.0,972.0,972.0
