metric,mean,std,ci_low,ci_high,p_value_ttest,p_value_wilcoxon,n_seeds
delta_sharpe,0.11976274268303726,0.21859527254525377,-0.07414985467129351,0.30535090783924773,,,5
delta_mdd,-0.00936284668652244,0.04743454178469989,-0.0489479719647972,0.028970714449664835,,,5
delta_turnover,0.3549778848732762,0.042025501270534206,0.31896097690314484,0.3909947928434077,,,5
delta_cumret,0.131947544804844,0.19875641682604064,-0.03796929084234659,0.308330597839925,,,5
