seed,delta_sharpe,delta_mdd,delta_turnover,delta_cumret
0,-0.1578004402947225,-0.05912658162139528,0.3169495296636865,-0.11514369075389459
1,0.3857628855552776,0.06122483961527936,0.3391573009023974,0.28171910833650704
2,-0.08185893635697761,-0.0655160579512741,0.4179503327627534,-0.024557564143383948
3,0.34414072456467615,0.010934895651231596,0.31087426214297686,0.4281638150021674
4,0.10856947994693272,0.005668670873546222,0.38995799889456706,0.08955605558282409
