model_type,regime,n_seeds,sharpe_mean,sharpe_std,sharpe_ci_low,sharpe_ci_high,mdd_mean,mdd_std,mdd_ci_low,mdd_ci_high,turnover_mean,turnover_std,turnover_ci_low,turnover_ci_high,cumret_mean,cumret_std,cumret_ci_low,cumret_ci_high
baseline_sac,high,5,-0.42402846752703727,0.36864059322181414,-0.7653332984014084,-0.1279350444060392,-0.28513606687661874,0.08930207040222815,-0.3704918692609294,-0.2172056105117473,0.8979518070840676,0.06303323936580488,0.8444629191342043,0.9537163535791414,-0.14759068803243466,0.10491530497009732,-0.2463651770066658,-0.06409512982255793
baseline_sac,low,5,0.3787026079651855,0.4959240627403773,-0.02254032709454712,0.8480616889387939,-0.10230499002419284,0.02242748932966528,-0.12168797933752502,-0.08351611557395351,0.6153422012128816,0.041733188920134674,0.5759465163174273,0.6481170725787091,0.04732402609998916,0.07394931920966027,-0.010824944625638423,0.11759609908647994
baseline_sac,mid,5,2.3173968473998645,0.40287245273513017,2.0090904047720413,2.7000744099870966,-0.07385081377785226,0.01911602619126914,-0.08971015149692071,-0.0579914760587838,0.6995247910592287,0.05001018624998947,0.6565864382254066,0.7425631968553844,0.4453103597797973,0.08992696205537937,0.3681397937011324,0.5225818122138639
buy_and_hold_equal_weight,high,5,-0.20189338337273002,2.7755575615628914e-17,-0.20189338337273002,-0.20189338337273002,-0.21623858500320997,2.7755575615628914e-17,-0.21623858500320997,-0.21623858500320997,0.0,0.0,0.0,0.0,-0.0792339239132285,0.0,-0.0792339239132285,-0.0792339239132285
buy_and_hold_equal_weight,low,5,0.711586385144857,0.0,0.711586385144857,0.711586385144857,-0.08051149492477591,1.3877787807814457e-17,-0.08051149492477591,-0.08051149492477591,0.0,0.0,0.0,0.0,0.086710897089888,0.0,0.086710897089888,0.086710897089888
buy_and_hold_equal_weight,mid,5,2.683224577268164,0.0,2.683224577268164,2.683224577268164,-0.0676428820854161,0.0,-0.0676428820854161,-0.0676428820854161,0.0,0.0,0.0,0.0,0.48787181606614405,5.551115123125783e-17,0.48787181606614405,0.48787181606614405
daily_rebalanced_equal_weight,high,5,-0.2735462085753896,0.0,-0.2735462085753896,-0.2735462085753896,-0.22775416609131888,2.7755575615628914e-17,-0.22775416609131888,-0.22775416609131888,0.0107846872180677,0.0,0.0107846872180677,0.0107846872180677,-0.1020697459710636,0.0,-0.1020697459710636,-0.1020697459710636
daily_rebalanced_equal_weight,low,5,0.6669595915591631,1.1102230246251565e-16,0.6669595915591631,0.6669595915591631,-0.080719762154137,0.0,-0.080719762154137,-0.080719762154137,0.008541200099219498,1.734723475976807e-18,0.008541200099219498,0.008541200099219498,0.0824450139524,0.0,0.0824450139524,0.0824450139524
daily_rebalanced_equal_weight,mid,5,2.8287180715596945,0.0,2.8287180715596945,2.8287180715596945,-0.0608357454501538,0.0,-0.0608357454501538,-0.0608357454501538,0.009522123864240898,1.734723475976807e-18,0.009522123864240898,0.009522123864240898,0.5413735359043379,0.0,0.5413735359043379,0.5413735359043379
inverse_vol_risk_parity,high,5,-0.25822658968187306,5.551115123125783e-17,-0.25822658968187306,-0.25822658968187306,-0.20359595293324012,2.7755575615628914e-17,-0.20359595293324012,-0.20359595293324012,0.029003095024881596,3.469446951953614e-18,0.029003095024881596,0.029003095024881596,-0.0883722564611101,0.0,-0.0883722564611101,-0.0883722564611101
inverse_vol_risk_parity,low,5,0.46472323572255314,5.551115123125783e-17,0.46472323572255314,0.46472323572255314,-0.0806027886901328,0.0,-0.0806027886901328,-0.0806027886901328,0.032390292722896605,6.938893903907228e-18,0.032390292722896605,0.032390292722896605,0.0523140717760688,0.0,0.0523140717760688,0.0523140717760688
inverse_vol_risk_parity,mid,5,2.7502815338977866,4.440892098500626e-16,2.7502815338977866,2.7502815338977866,-0.06710042669052599,1.3877787807814457e-17,-0.06710042669052599,-0.06710042669052599,0.0324702116743978,0.0,0.0324702116743978,0.0324702116743978,0.4810837444400775,0.0,0.4810837444400775,0.4810837444400775
prl_sac,high,5,-0.3284856946295351,0.29882991741933507,-0.5371622146588746,-0.029526124312488265,-0.2761681569211456,0.0441510579923844,-0.3083232461461236,-0.2340985454132838,1.2414762699287905,0.060066529132606114,1.1928401744131407,1.297354064699727,-0.11887136530598381,0.08249707944749467,-0.1747086428064772,-0.035151575134579685
prl_sac,low,5,0.5182614495338423,0.5038845792717497,0.06906414739299369,1.003991025528753,-0.10160497766172867,0.022400513115316642,-0.11782053814723133,-0.07884200011691969,0.970027262369285,0.057272588435272394,0.9256311367384182,1.0256104978842546,0.07104883384415459,0.07734179933712082,0.003853940259363561,0.14648729752856132
prl_sac,mid,5,2.5573415792500307,0.5534634043912654,2.078306336501549,3.0307248553187756,-0.07090649649477307,0.012702640982184493,-0.08155681873872875,-0.06025617425081742,1.0670033657010554,0.06096540231869944,1.0201368614789244,1.1237787068624585,0.4889158032929176,0.12303526690816538,0.3777702125143512,0.5929293190478349
