run_id,model_type,seed,regime,period,total_reward,avg_reward,cumulative_return,avg_turnover,total_turnover,sharpe,max_drawdown,steps,mean_daily_return_gross,std_daily_return_gross,cumulative_return_net_exp,sharpe_net_exp,max_drawdown_net_exp,mean_daily_net_return_exp,std_daily_net_return_exp,cumulative_return_net_lin,sharpe_net_lin,max_drawdown_net_lin,mean_daily_net_return_lin,std_daily_net_return_lin,eval_id,eval_window
20260203T084814Z_49558b0c_seed0_baseline_decd,baseline_sac,0,high,test,0.049834338860819116,0.0003038679198830434,0.0877668958920248,0.41820167331066876,68.58507442294967,0.6030929312735924,-0.2560031342232788,164,0.0006644330905834156,0.017489092934451486,0.051096956033151564,0.4132520216501978,-0.26352561427867427,0.0004553010893749053,0.017489764952619422,0.0510896624270305,0.41318018081399116,-0.2635731747513139,0.000455332253928081,0.017494003300355134,20260203T084814Z_49558b0c_seed0_baseline_decd,W1
20260203T084814Z_49558b0c_seed0_baseline_decd,baseline_sac,0,low,test,0.09553634969051927,0.0005825387176251175,0.1221840170616828,0.24073720637361956,39.48090184527361,1.4954619752807174,-0.06044610444535159,164,0.0007334449806743268,0.007785606259290882,0.10024881501098526,1.250233543437334,-0.06589757182315459,0.0006129836639981294,0.007783197025214919,0.10026425934870042,1.2502765104418114,-0.06590492458310948,0.0006130763774875169,0.00778410671226868,20260203T084814Z_49558b0c_seed0_baseline_decd,W1
20260203T084814Z_49558b0c_seed0_baseline_decd,baseline_sac,0,mid,test,0.2513009947069804,0.0015417238939078553,0.3171921392827908,0.29694859042055083,48.40262023854979,3.0592931490121074,-0.05866242075510264,163,0.0017320720201557819,0.008987628700437398,0.2856970140923911,2.7983411907933493,-0.06162858786912595,0.0015833100301286178,0.008981845248499274,0.28575504182485667,2.798489581202615,-0.061634980958504504,0.0015835977249455066,0.008983000941185485,20260203T084814Z_49558b0c_seed0_baseline_decd,W1
20260203T084814Z_49558b0c_seed0_baseline_decd,baseline_sac,0,all,test,0.3966716832583188,0.0008078853019517695,0.6078630204860218,0.3186733126410857,156.46859650677308,1.352895074441073,-0.2325644136327576,491,0.0010419139368058293,0.012225538623352692,0.4868676863523089,1.1459322377042425,-0.23938993293816446,0.0008824403960573165,0.012224376405444543,0.4869453478301764,1.1458751629641828,-0.23943229550812828,0.0008825772804852864,0.012226881631255444,20260203T084814Z_49558b0c_seed0_baseline_decd,W1
20260203T084903Z_49558b0c_seed0_prl_d980,prl_sac,0,high,test,0.18893287243918166,0.0011520297099950102,0.2203957547256319,0.12490645433098832,20.484658510282085,1.6207455545794875,-0.17640089162298533,164,0.0012949843385729586,0.012683816414883708,0.20795986236211728,1.5425728778422199,-0.17780752020638968,0.001232452320104727,0.01268307924473388,0.20797361767078204,1.5425809732951357,-0.17781510055777605,0.0012325311114074645,0.012683823515475014,20260203T084903Z_49558b0c_seed0_prl_d980,W1
20260203T084903Z_49558b0c_seed0_prl_d980,prl_sac,0,low,test,0.1222200667107245,0.0007452443092117347,0.15896431435065161,0.3086183878758713,50.61341561164289,2.5560992361263897,-0.03740404769916439,164,0.0009161301309288275,0.005689573692805258,0.13000275040806586,2.1220272658707846,-0.04328237388415768,0.0007617470254692293,0.005698493767018791,0.1300155570306043,2.121922678372277,-0.043286849814051065,0.0007618209369908919,0.0056993275863932834,20260203T084903Z_49558b0c_seed0_prl_d980,W1
20260203T084903Z_49558b0c_seed0_prl_d980,prl_sac,0,mid,test,0.13972801078580233,0.0008572270600355971,0.16795902060734824,0.19054956167362638,31.0595785528011,2.3140483040893134,-0.0773150412333411,163,0.0009753311281820953,0.006690829071847124,0.14996097933426067,2.0870033805282366,-0.0815600604852218,0.0008799907675057293,0.0066935302987302025,0.1499723775298989,2.086939396107607,-0.08156951818057523,0.0008800563473452822,0.006694234358148379,20260203T084903Z_49558b0c_seed0_prl_d980,W1
20260203T084903Z_49558b0c_seed0_prl_d980,prl_sac,0,all,test,0.4508809499357085,0.0009182911403985916,0.6519555497494975,0.20806039241288407,102.15765267472608,1.8921058283103596,-0.1640007782482873,491,0.0010623253500854878,0.008912763691264744,0.5696943987501006,1.7061298934018456,-0.1655108706684698,0.0009582223783657081,0.008915680301917252,0.5697456220458976,1.7061241391792408,-0.16551829621700354,0.0009582951538790456,0.008916387506182392,20260203T084903Z_49558b0c_seed0_prl_d980,W1
20260203T084953Z_49558b0c_seed1_baseline_d271,baseline_sac,1,high,test,0.01766452869742352,0.00010771054083794829,0.0654870055769965,0.5581395385551862,91.53488432305053,0.552375170416123,-0.17246604402598742,164,0.0004820092715640274,0.01385228805152597,0.01782146921599903,0.23250504128473148,-0.17918439103861383,0.0002029022450567182,0.01385334815736783,0.017820332669475913,0.23249488211745636,-0.17923250340061259,0.00020293950228643387,0.013856497382248758,20260203T084953Z_49558b0c_seed1_baseline_d271,W1
20260203T084953Z_49558b0c_seed1_baseline_d271,baseline_sac,1,low,test,0.04941016757766192,0.0003012815096198898,0.08570070491770809,0.4001880640183917,65.63084249901624,1.4606089119241992,-0.05059858519316207,164,0.0005173080494886362,0.005622320002234198,0.05065120543257384,0.8955376325152186,-0.06092096858736962,0.00031713293089698057,0.005621571917726309,0.050664035261537066,0.8955795248664974,-0.06093548077840105,0.00031721401747944044,0.005622746250877525,20260203T084953Z_49558b0c_seed1_baseline_d271,W1
20260203T084953Z_49558b0c_seed1_baseline_d271,baseline_sac,1,mid,test,0.049105998183222255,0.00030126379253510587,0.0872234025556442,0.42357188348077984,69.04221700736711,1.2994708051612545,-0.04819188374069916,163,0.0005344920842795835,0.006529426257764387,0.05033167808933303,0.7858237215952782,-0.0559702453999299,0.00032253408197131805,0.006515545001667379,0.05035954877142679,0.7860720570940544,-0.05597760326017842,0.0003227061425391937,0.006516961329484152,20260203T084953Z_49558b0c_seed1_baseline_d271,W1
20260203T084953Z_49558b0c_seed1_baseline_d271,baseline_sac,1,all,test,0.1161806944583077,0.00023662055897822343,0.25770002450451046,0.4607086432371362,226.20794382943387,0.861178888321645,-0.17019317810396362,491,0.0005112225058863726,0.009423600370631148,0.12319880959833585,0.473107809554323,-0.17781246352984592,0.0002807715360849927,0.009420918167547514,0.12324107564881248,0.47316487719768446,-0.17785866459447863,0.00028086818426780456,0.009423024437028246,20260203T084953Z_49558b0c_seed1_baseline_d271,W1
20260203T085038Z_49558b0c_seed1_prl_4806,prl_sac,1,high,test,0.11561557143431855,0.0007049729965507229,0.12688838876818154,0.0468856850436097,7.689252347151991,1.0564357204800225,-0.14399889468320415,164,0.0008009815373509078,0.01203593126303099,0.12256424341138628,1.025554099612308,-0.14470148863751142,0.0007775158530227144,0.012035134499209768,0.12256750228261293,1.0255471112604526,-0.14470596506315114,0.000777538694829103,0.012035570079579313,20260203T085038Z_49558b0c_seed1_prl_4806,W1
20260203T085038Z_49558b0c_seed1_prl_4806,prl_sac,1,low,test,0.140230323337164,0.0008550629471778293,0.16977265392410867,0.20218406808880063,33.1581871665633,2.17669366883412,-0.06449942068475634,164,0.0009823244259988737,0.007164038307795584,0.15053876426992052,1.9527350239211616,-0.06569860724321319,0.000881137218569506,0.007163091528650326,0.1505556120638496,1.9527252607930112,-0.06570480420823477,0.0008812323919544733,0.007163901045923759,20260203T085038Z_49558b0c_seed1_prl_4806,W1
20260203T085038Z_49558b0c_seed1_prl_4806,prl_sac,1,mid,test,0.12613613047869876,0.0007738412912803604,0.14288526733822438,0.09104135027664048,14.839740095092399,1.895155742238825,-0.08024151981160854,163,0.0008447579223508681,0.007075996966724294,0.13443658916802903,1.7919844244100234,-0.08191926429629381,0.0007992313184439077,0.0070800860090500985,0.13443721070595105,1.7919065521287965,-0.08192535560678238,0.000799237247212548,0.007080446216859183,20260203T085038Z_49558b0c_seed1_prl_4806,W1
20260203T085038Z_49558b0c_seed1_prl_4806,prl_sac,1,all,test,0.3819820252501813,0.0007779674648679864,0.5065550408737014,0.11341584441712362,55.687179608807696,1.5343511518666009,-0.14605737277090125,491,0.0008760849680907447,0.009064038372612075,0.4651857485489934,1.4349244731411193,-0.14679884198588533,0.0008193356591598393,0.009064275235387631,0.4652122601910289,1.4349177335476995,-0.14680326563103185,0.0008193770458821829,0.009064775670612837,20260203T085038Z_49558b0c_seed1_prl_4806,W1
