model_type,total_reward_mean,total_reward_std,avg_reward_mean,avg_reward_std,cumulative_return_mean,cumulative_return_std,avg_turnover_mean,avg_turnover_std,total_turnover_mean,total_turnover_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,steps_mean,steps_std
baseline_sac,0.4211309597894039,0.009130662839540515,0.0004332623043100863,9.393686048910001e-06,0.5542183135331143,0.017047674970808797,0.040702693470576846,0.003810755586027515,39.5630180534007,3.7040544296187465,0.8257070256470528,0.019053855568568614,-0.19331522132836834,0.0029389798406779144,972.0,0.0
buy_and_hold_equal_weight,0.43148797883510537,0.0,0.0004439176736986681,0.0,0.5395466328581724,0.0,0.0,0.0,0.0,0.0,0.8329189692072972,1.1102230246251565e-16,-0.19369434744126712,0.0,972.0,0.0
daily_rebalanced_equal_weight,0.4382582865564289,5.551115123125783e-17,0.0004508830108605236,0.0,0.5572347105154629,0.0,0.009574774255214025,0.0,9.306680576068032,0.0,0.8292677394592661,0.0,-0.19572130122424813,0.0,972.0,0.0
inverse_vol_risk_parity,0.37511474817524454,5.551115123125783e-17,0.00038592052281403755,0.0,0.4774372291427773,0.0,0.03126386155276597,0.0,30.388473429288524,0.0,0.7873938974230681,0.0,-0.18411977983854377,0.0,972.0,0.0
prl_sac,0.42042588470231596,0.010318637766375469,0.00043253691841802053,1.061588247569491e-05,0.5679760884296045,0.019313863548995606,0.0602550200031658,0.004629283982820446,58.56787944307715,4.499664031301472,0.8411680233008573,0.019752566586147276,-0.19519184485162508,0.0018998236940503041,972.0,0.0
