run_id,eval_id,eval_window,model_type,seed,period,total_reward,avg_reward,cumulative_return,cumulative_return_net_exp,cumulative_return_net_lin,avg_turnover,total_turnover,sharpe,sharpe_net_exp,sharpe_net_lin,max_drawdown,max_drawdown_net_exp,max_drawdown_net_lin,mean_daily_return_gross,std_daily_return_gross,mean_daily_net_return_exp,std_daily_net_return_exp,mean_daily_net_return_lin,std_daily_net_return_lin,mean_daily_return_gross_mid,std_daily_return_gross_mid,mean_daily_net_return_exp_mid,std_daily_net_return_exp_mid,mean_daily_net_return_lin_mid,std_daily_net_return_lin_mid,steps
20260203T084814Z_49558b0c_seed0_baseline_decd,20260203T084814Z_49558b0c_seed0_baseline_decd,W1,baseline_sac,0,test,0.3966716832583188,0.0008078853019517695,0.6078630204860218,0.4868676863523089,0.4869453478301764,0.3186733126410857,156.46859650677308,1.352895074441073,1.1459322377042425,1.1458751629641828,-0.2325644136327576,-0.23938993293816446,-0.23943229550812828,0.0010419139368058293,0.012225538623352692,0.0008824403960573165,0.012224376405444543,0.0008825772804852864,0.012226881631255444,0.0017320720201557819,0.008987628700437398,0.0015833100301286178,0.008981845248499274,0.0015835977249455066,0.008983000941185485,491
20260203T084903Z_49558b0c_seed0_prl_d980,20260203T084903Z_49558b0c_seed0_prl_d980,W1,prl_sac,0,test,0.4508809499357085,0.0009182911403985916,0.6519555497494975,0.5696943987501006,0.5697456220458976,0.20806039241288407,102.15765267472608,1.8921058283103596,1.7061298934018456,1.7061241391792408,-0.1640007782482873,-0.1655108706684698,-0.16551829621700354,0.0010623253500854878,0.008912763691264744,0.0009582223783657081,0.008915680301917252,0.0009582951538790456,0.008916387506182392,0.0009753311281820953,0.006690829071847124,0.0008799907675057293,0.0066935302987302025,0.0008800563473452822,0.006694234358148379,491
20260203T084953Z_49558b0c_seed1_baseline_d271,20260203T084953Z_49558b0c_seed1_baseline_d271,W1,baseline_sac,1,test,0.1161806944583077,0.00023662055897822343,0.25770002450451046,0.12319880959833585,0.12324107564881248,0.4607086432371362,226.20794382943387,0.861178888321645,0.473107809554323,0.47316487719768446,-0.17019317810396362,-0.17781246352984592,-0.17785866459447863,0.0005112225058863726,0.009423600370631148,0.0002807715360849927,0.009420918167547514,0.00028086818426780456,0.009423024437028246,0.0005344920842795835,0.006529426257764387,0.00032253408197131805,0.006515545001667379,0.0003227061425391937,0.006516961329484152,491
20260203T085038Z_49558b0c_seed1_prl_4806,20260203T085038Z_49558b0c_seed1_prl_4806,W1,prl_sac,1,test,0.3819820252501813,0.0007779674648679864,0.5065550408737014,0.4651857485489934,0.4652122601910289,0.11341584441712362,55.687179608807696,1.5343511518666009,1.4349244731411193,1.4349177335476995,-0.14605737277090125,-0.14679884198588533,-0.14680326563103185,0.0008760849680907447,0.009064038372612075,0.0008193356591598393,0.009064275235387631,0.0008193770458821829,0.009064775670612837,0.0008447579223508681,0.007075996966724294,0.0007992313184439077,0.0070800860090500985,0.000799237247212548,0.007080446216859183,491
