ticker,kept,drop_reason,missing_fraction_raw,valid_obs_count,first_valid_date,return_std,max_abs_return,flat_fraction,market_closed_days_removed,market_closed_fraction_removed,total_days_before_drop,total_days_after_drop
AAPL,True,,0.0,4023,2010-01-04,0.017747695015599592,0.1532884850891707,0.0019885657469550086,151,0.03617632965979876,4174,4023
AMGN,True,,0.0,4023,2010-01-04,0.01536931891518067,0.11817947638613635,0.0014914243102162564,151,0.03617632965979876,4174,4023
AXP,True,,0.0,4023,2010-01-04,0.01834946707280442,0.21882291521335054,0.003479990057171265,151,0.03617632965979876,4174,4023
BA,True,,0.0,4023,2010-01-04,0.022613980893177527,0.24318605379189218,0.002485707183693761,151,0.03617632965979876,4174,4023
CAT,True,,0.0,4023,2010-01-04,0.018418307733761623,0.14282218914368427,0.0017399950285856326,151,0.03617632965979876,4174,4023
CRM,True,,0.0,4023,2010-01-04,0.022671184195304606,0.2604488560885292,0.002734277902063137,151,0.03617632965979876,4174,4023
CSCO,True,,0.0,4023,2010-01-04,0.01621096042584702,0.1621068357527824,0.013174248073576932,151,0.03617632965979876,4174,4023
CVX,True,,0.0,4023,2010-01-04,0.016774352861327415,0.2274072895318289,0.003231419338801889,151,0.03617632965979876,4174,4023
DIS,True,,0.0,4023,2010-01-04,0.01658115202850553,0.1441230845102395,0.005219985085756898,151,0.03617632965979876,4174,4023
GS,True,,0.0,4023,2010-01-04,0.018130971303551086,0.17580306074929108,0.0009942828734775043,151,0.03617632965979876,4174,4023
HD,True,,0.0,4023,2010-01-04,0.014624126965729949,0.19793866924705428,0.003479990057171265,151,0.03617632965979876,4174,4023
HON,True,,0.0,4023,2010-01-04,0.014467980911453394,0.15068341862658396,0.002734277902063137,151,0.03617632965979876,4174,4023
IBM,True,,0.0,4023,2010-01-04,0.014343329921021273,0.12964177231009066,0.002734277902063137,151,0.03617632965979876,4174,4023
INTC,True,,0.0,4023,2010-01-04,0.022015004892736743,0.2605851455985698,0.01019139945314442,151,0.03617632965979876,4174,4023
JNJ,True,,0.0,4023,2010-01-04,0.010647415708938133,0.10037841325369712,0.006462838677603778,151,0.03617632965979876,4174,4023
JPM,True,,0.0,4023,2010-01-04,0.01738414330926433,0.18012487532775823,0.005219985085756898,151,0.03617632965979876,4174,4023
KO,True,,0.0,4023,2010-01-04,0.010744293244460789,0.09672483000687138,0.010937111608252548,151,0.03617632965979876,4174,4023
MCD,True,,0.0,4023,2010-01-04,0.011704780607039611,0.18125474163284294,0.005219985085756898,151,0.03617632965979876,4174,4023
MMM,True,,0.0,4023,2010-01-04,0.01491454147787083,0.22990629935703177,0.0044742729306487695,151,0.03617632965979876,4174,4023
MRK,True,,0.0,4023,2010-01-04,0.01352639474457767,0.10408033555529128,0.007954262987820034,151,0.03617632965979876,4174,4023
MSFT,True,,0.0,4023,2010-01-04,0.016058939924526026,0.14739042828852178,0.00695998011434253,151,0.03617632965979876,4174,4023
NKE,True,,0.0,4023,2010-01-04,0.018241050259588127,0.1998089979892973,0.0044742729306487695,151,0.03617632965979876,4174,4023
PG,True,,0.0,4023,2010-01-04,0.010842482691171756,0.12009039867669835,0.00695998011434253,151,0.03617632965979876,4174,4023
UNH,True,,0.0,4023,2010-01-04,0.017196056593638657,0.22379668839171463,0.0037285607755406414,151,0.03617632965979876,4174,4023
V,True,,0.0,4023,2010-01-04,0.0156515027692369,0.14997424478611898,0.002982848620432513,151,0.03617632965979876,4174,4023
VZ,True,,0.0,4023,2010-01-04,0.01171620981884111,0.09270465913673287,0.009942828734775044,151,0.03617632965979876,4174,4023
WMT,True,,0.0,4023,2010-01-04,0.012348853022442402,0.11708551453637939,0.0044742729306487695,151,0.03617632965979876,4174,4023
