package_id,record_type,upstream_step_id,step_id,domain,question_id,scenario_id,evidence_role,inclusion_status,seed,friction,forecaster_id,interface_id,forecast_metric,target_metric,executed_metric,target_executed_gap,flip_count,flip_rate,kendall_tau_b,spearman_rho,source_file,is_locked_source
step2_synthetic_lock,raw_q1_interface_row,none,step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,pass,28,0.0,noisy_overreactive,responsive,-0.1953106960139761,-0.1144961881336571,-0.1144961881336571,0.0,,,,,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_same_forecast_diff_interface.csv,True
step2_synthetic_lock,raw_q1_interface_row,none,step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,pass,28,0.0,noisy_overreactive,tempered,-0.1953106960139761,-0.1144961881336571,-0.1144961881336571,0.0,,,,,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_same_forecast_diff_interface.csv,True
step2_synthetic_lock,raw_q1_interface_row,none,step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,pass,29,0.0,noisy_overreactive,responsive,-0.1196051346363458,-0.1150435866076159,-0.1150435866076159,0.0,,,,,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_same_forecast_diff_interface.csv,True
step2_synthetic_lock,raw_q1_interface_row,none,step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,pass,29,0.0,noisy_overreactive,tempered,-0.1196051346363458,-0.1150435866076159,-0.1150435866076159,0.0,,,,,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_same_forecast_diff_interface.csv,True
step2_synthetic_lock,raw_q1_interface_row,none,step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,pass,30,0.0,noisy_overreactive,responsive,-0.1091540141461843,-0.1058576292625879,-0.1058576292625879,0.0,,,,,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_same_forecast_diff_interface.csv,True
step2_synthetic_lock,raw_q1_interface_row,none,step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,pass,30,0.0,noisy_overreactive,tempered,-0.1091540141461843,-0.1058576292625879,-0.1058576292625879,0.0,,,,,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_same_forecast_diff_interface.csv,True
step2_synthetic_lock,raw_q1_interface_row,none,step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,pass,31,0.0,noisy_overreactive,responsive,-0.0940231156905888,-0.0899877471189491,-0.0899877471189491,0.0,,,,,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_same_forecast_diff_interface.csv,True
step2_synthetic_lock,raw_q1_interface_row,none,step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,pass,31,0.0,noisy_overreactive,tempered,-0.0940231156905888,-0.0899877471189491,-0.0899877471189491,0.0,,,,,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_same_forecast_diff_interface.csv,True
step2_synthetic_lock,raw_q1_interface_row,none,step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,pass,32,0.0,noisy_overreactive,responsive,-0.1285811765679575,-0.1036559671962346,-0.1036559671962346,0.0,,,,,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_same_forecast_diff_interface.csv,True
step2_synthetic_lock,raw_q1_interface_row,none,step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,pass,32,0.0,noisy_overreactive,tempered,-0.1285811765679575,-0.1036559671962346,-0.1036559671962346,0.0,,,,,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_same_forecast_diff_interface.csv,True
step2_synthetic_lock,raw_q1_interface_row,none,step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,pass,33,0.0,noisy_overreactive,responsive,-0.1249646554987744,-0.1059823082484869,-0.1059823082484869,0.0,,,,,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_same_forecast_diff_interface.csv,True
step2_synthetic_lock,raw_q1_interface_row,none,step2,synthetic,Q1,step2_synthetic_q1_same_forecast_diff_interface,required,pass,33,0.0,noisy_overreactive,tempered,-0.1249646554987744,-0.1059823082484869,-0.1059823082484869,0.0,,,,,/workspace/execution-aware-portfolio-rl/outputs/forecast_eval/synthetic_step2_candidate_lock/q1_same_forecast_diff_interface.csv,True
