check_name,step_id,domain,scenario_id,pass_fail,measured_value,threshold,note
friction_sweep_order_preserved,step5,synthetic,step5_q2_same_interface_package,pass,0.0|0.25|0.5|1.0,strictly ascending,Step 5 packaged friction order
interface_expected_match,step5,synthetic,step5_q2_same_interface_package,pass,tempered,tempered,Step 5 package expected-interface validation
min_forecasters_per_seed_friction_ok,step5,synthetic,step5_q2_same_interface_package,pass,4,>=4,manifest min_n_forecasters_per_seed_friction
no_nan_inf,step5,synthetic,step5_q2_same_interface_package,pass,0,0,Step 5 seed-level and rank-correlation numeric fields
no_sign_inversion_from_bug,step5,synthetic,step5_q2_same_interface_package,pass,0,0,Step 5 packaged Q2 should preserve descending score ordering
paired_seeds_aligned,step5,synthetic,step5_q2_same_interface_package,pass,min=20;max=20,constant across friction,Step 5 package should keep the same seed count across friction
positive_friction_gap_emergence,step5,synthetic,step5_q2_same_interface_package,pass,0.5,>0 flip-rate delta vs zero,Step 5 packaged Q2 positive-friction mismatch emergence
source_manifest_hash_present,step5,synthetic,step5_q2_same_interface_package,pass,1,1,manifest source_path and source_sha256 presence
target_executed_gap_nonnegative_where_definition_requires,step5,synthetic,step5_q2_same_interface_package,na,,na,Q2 package
zero_friction_near_flat,step5,synthetic,step5_q2_same_interface_package,pass,flip=0.000000;spearman=1.000000,flip<=0.10 & spearman>=0.80,Step 5 zero-friction mismatch gate
forecast_identity_locked,step5,inventory,step5_q2_same_interface_package,na,,na,Step 5 is a Q2 package
friction_sweep_order_preserved,step5,inventory,step5_q2_same_interface_package,pass,0.0|0.25|0.5|1.0,strictly ascending,Step 5 packaged friction order
interface_expected_match,step5,inventory,step5_q2_same_interface_package,pass,responsive,responsive,Step 5 package expected-interface validation
min_forecasters_per_seed_friction_ok,step5,inventory,step5_q2_same_interface_package,pass,4,>=4,manifest min_n_forecasters_per_seed_friction
no_nan_inf,step5,inventory,step5_q2_same_interface_package,pass,0,0,Step 5 seed-level and rank-correlation numeric fields
no_sign_inversion_from_bug,step5,inventory,step5_q2_same_interface_package,pass,0,0,Step 5 packaged Q2 should preserve descending score ordering
paired_seeds_aligned,step5,inventory,step5_q2_same_interface_package,pass,min=10;max=10,constant across friction,Step 5 package should keep the same seed count across friction
positive_friction_gap_emergence,step5,inventory,step5_q2_same_interface_package,pass,0.48333333333333334,>0 flip-rate delta vs zero,Step 5 packaged Q2 positive-friction mismatch emergence
source_manifest_hash_present,step5,inventory,step5_q2_same_interface_package,pass,1,1,manifest source_path and source_sha256 presence
target_executed_gap_nonnegative_where_definition_requires,step5,inventory,step5_q2_same_interface_package,na,,na,Q2 package
zero_friction_near_flat,step5,inventory,step5_q2_same_interface_package,pass,flip=0.083333;spearman=0.880000,flip<=0.10 & spearman>=0.80,Step 5 zero-friction mismatch gate
forecast_identity_locked,step5,portfolio,step5_q2_same_interface_package,na,,na,Step 5 is a Q2 package
friction_sweep_order_preserved,step5,portfolio,step5_q2_same_interface_package,pass,0.0|0.0005|0.001,strictly ascending,Step 5 packaged friction order
interface_expected_match,step5,portfolio,step5_q2_same_interface_package,pass,tempered,tempered,Step 5 package expected-interface validation
min_forecasters_per_seed_friction_ok,step5,portfolio,step5_q2_same_interface_package,pass,4,>=4,manifest min_n_forecasters_per_seed_friction
no_nan_inf,step5,portfolio,step5_q2_same_interface_package,pass,0,0,Step 5 seed-level and rank-correlation numeric fields
no_sign_inversion_from_bug,step5,portfolio,step5_q2_same_interface_package,pass,0,0,Step 5 packaged Q2 should preserve descending score ordering
paired_seeds_aligned,step5,portfolio,step5_q2_same_interface_package,pass,min=3;max=3,constant across friction,Step 5 package should keep the same seed count across friction
positive_friction_gap_emergence,step5,portfolio,step5_q2_same_interface_package,pass,0.16666666666666674,>0 flip-rate delta vs zero,Step 5 packaged Q2 positive-friction mismatch emergence
source_manifest_hash_present,step5,portfolio,step5_q2_same_interface_package,pass,1,1,manifest source_path and source_sha256 presence
target_executed_gap_nonnegative_where_definition_requires,step5,portfolio,step5_q2_same_interface_package,na,,na,Q2 package
zero_friction_near_flat,step5,portfolio,step5_q2_same_interface_package,fail,flip=0.611111;spearman=-0.200000,flip<=0.10 & spearman>=0.50,Step 5 zero-friction mismatch gate
duplicate_key_uniqueness,step6,all,master_results_integrity,pass,0,0,"(package_id, record_type, step_id, domain, question_id, scenario_id, seed, friction, forecaster_id, interface_id)"
duplicate_key_uniqueness,step6,all,rank_flip_summary_integrity,pass,0,0,"(step_id, domain, scenario_id, friction)"
duplicate_key_uniqueness,step6,all,summary_by_domain_integrity,pass,0,0,"(step_id, domain, question_id, scenario_id, friction)"
