ticker,kept,drop_reason,missing_fraction_raw,valid_obs_count,first_valid_date,return_std,max_abs_return,flat_fraction,market_closed_days_removed,market_closed_fraction_removed,total_days_before_drop,total_days_after_drop
AAPL,True,,0.0,4023,2010-01-04,0.017747691299379795,0.15328838258086194,0.0019885657469550086,151,0.03617632965979876,4174,4023
ABT,True,,0.0,4023,2010-01-04,0.013532032510709686,0.10936000802835388,0.009197116579666915,151,0.03617632965979876,4174,4023
ACN,True,,0.0,4023,2010-01-04,0.015449960891887424,0.12857318416604802,0.0044742729306487695,151,0.03617632965979876,4174,4023
ADBE,True,,0.0,4023,2010-01-04,0.02014900956253773,0.1903460477175336,0.003977131493910017,151,0.03617632965979876,4174,4023
ADP,True,,0.0,4023,2010-01-04,0.013636717037875945,0.15252575086421394,0.005965697240865026,151,0.03617632965979876,4174,4023
AMGN,True,,0.0,4023,2010-01-04,0.015369317033873595,0.11817970940063205,0.0014914243102162564,151,0.03617632965979876,4174,4023
BDX,True,,0.0,4023,2010-01-04,0.013274683510592794,0.181322296989038,0.002485707183693761,151,0.03617632965979876,4174,4023
BLK,True,,0.0,4023,2010-01-04,0.017321656067228654,0.13654582619786138,0.0012428535918468805,151,0.03617632965979876,4174,4023
BMY,True,,0.0,4023,2010-01-04,0.014895287984164857,0.15985138002733912,0.008451404424558787,151,0.03617632965979876,4174,4023
CAT,True,,0.0,4023,2010-01-04,0.018418304249314663,0.14282191582805082,0.0017399950285856326,151,0.03617632965979876,4174,4023
CMCSA,True,,0.0,4023,2010-01-04,0.015508548161767105,0.12564373823399833,0.009694258016405667,151,0.03617632965979876,4174,4023
COP,True,,0.0,4023,2010-01-04,0.02124299601518432,0.252138107636771,0.00571712652249565,151,0.03617632965979876,4174,4023
COST,True,,0.0,4023,2010-01-04,0.012786012266838146,0.124513271142355,0.0044742729306487695,151,0.03617632965979876,4174,4023
CVX,True,,0.0,4023,2010-01-04,0.016774353078084548,0.22740683067360745,0.003231419338801889,151,0.03617632965979876,4174,4023
DHR,True,,0.0,4023,2010-01-04,0.017702524885697405,0.6121846134440121,0.004225702212279393,151,0.03617632965979876,4174,4023
GS,True,,0.0,4023,2010-01-04,0.018130967276696594,0.1758031017768864,0.0009942828734775043,151,0.03617632965979876,4174,4023
JPM,True,,0.0,4023,2010-01-04,0.017384137308919245,0.18012475428390906,0.005219985085756898,151,0.03617632965979876,4174,4023
LLY,True,,0.0,4023,2010-01-04,0.016450016411286714,0.1567977422052076,0.004722843649018146,151,0.03617632965979876,4174,4023
MA,True,,0.0,4023,2010-01-04,0.01704060297340428,0.1661092877475152,0.0017399950285856326,151,0.03617632965979876,4174,4023
MSFT,True,,0.0,4023,2010-01-04,0.016058936477285637,0.1473902409226211,0.00695998011434253,151,0.03617632965979876,4174,4023
NEE,True,,0.0,4023,2010-01-04,0.01408113563803174,0.1369040219522919,0.003977131493910017,151,0.03617632965979876,4174,4023
ORCL,True,,0.0,4023,2010-01-04,0.019017220412159083,0.35948814029426734,0.007705692269450659,151,0.03617632965979876,4174,4023
PEP,True,,0.0,4023,2010-01-04,0.011085447540830694,0.12936591378777207,0.005468555804126274,151,0.03617632965979876,4174,4023
PG,True,,0.0,4023,2010-01-04,0.01084248032755726,0.12009067042410448,0.00695998011434253,151,0.03617632965979876,4174,4023
UNH,True,,0.0,4023,2010-01-04,0.017196063197025643,0.22379668839171463,0.0037285607755406414,151,0.03617632965979876,4174,4023
V,True,,0.0,4023,2010-01-04,0.01565150825712635,0.1499731289328805,0.002982848620432513,151,0.03617632965979876,4174,4023
WMT,True,,0.0,4023,2010-01-04,0.01234884629837577,0.11708537027824639,0.0044742729306487695,151,0.03617632965979876,4174,4023
